pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,831.4242842674313
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,837.237463130633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,840.3954602862892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,840.3293405672101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,839.2946795630409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,838.2600136127045
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,827.7425524245086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,831.4242842674313
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,837.237463130633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.3954602862892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,840.3293405672101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,839.2946795630409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,838.2600136127045
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,827.7425524245086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,831.4242842674313
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,837.237463130633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,840.3954602862892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,840.3293405672101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.2946795630409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,838.2600136127045
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,827.7425524245086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,831.4242842674313
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,837.237463130633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,840.3954602862892
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,840.3293405672101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,839.2946795630409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,838.2600136127045
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,827.7425524245086
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,831.4242842674313
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,837.237463130633
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,840.3954602862892
